ヒロイン名,本名,登場バージョン
キュアスター,星奈ひかる,スター☆トゥインクルプリキュア
キュアミルキー,羽衣ララ,スター☆トゥインクルプリキュア
キュアソレイユ,天宮えれな,スター☆トゥインクルプリキュア
キュアセレーネ,香久矢まどか,スター☆トゥインクルプリキュア
キュアグレース,花寺のどか,ヒーリングっどプリキュア
キュアフォンテーヌ,沢泉ちゆ,ヒーリングっどプリキュア
キュアスパークル,平光ひなた,ヒーリングっどプリキュア
キュアサマー,夏海まなつ,トロピカル～ジュ！プリキュア
キュアコーラル,涼村さんご,トロピカル～ジュ！プリキュア
キュアパパイア,一之瀬みのり,トロピカル～ジュ！プリキュア
キュアフラミンゴ,滝沢あすか,トロピカル～ジュ！プリキュア
キュアプレシャス,和実ゆい,デリシャスパーティ♡プリキュア
キュアスパイシー,芙羽ここね,デリシャスパーティ♡プリキュア
キュアヤムヤム,華満らん,デリシャスパーティ♡プリキュア
キュアラブリー,愛乃めぐみ,ハピネスチャージプリキュア！
キュアプリンセス,白雪ひめ,ハピネスチャージプリキュア！
キュアハニー,大森ゆうこ,ハピネスチャージプリキュア！
キュアフォーチュン,キュアフォーチュン,ハピネスチャージプリキュア！
キュアフローラ,春野はるか,Go！プリンセスプリキュア
キュアマーメイド,海藤みなみ,Go！プリンセスプリキュア
キュアトゥインクル,天ノ川きらら,Go！プリンセスプリキュア
キュアミラクル,朝日奈みらい,魔法つかいプリキュア!
キュアマジカル,十六夜リコ,魔法つかいプリキュア!
キュアフェリーチェ,花海ことは,魔法つかいプリキュア!
キュアホイップ,宇佐美いちか,キラキラ☆プリキュアアラモード
キュアカスタード,有栖川ひまり,キラキラ☆プリキュアアラモード
キュアジェラート,立神あおい,キラキラ☆プリキュアアラモード
キュアマカロン,琴爪ゆかり,キラキラ☆プリキュアアラモード
キュアショコラ,剣城あきら,キラキラ☆プリキュアアラモード
キュアエール,野乃はな,ＨＵＧっと！プリキュア
キュアアンジュ,薬師寺さあや,ＨＵＧっと！プリキュア
キュアエトワール,輝木ほまれ,ＨＵＧっと！プリキュア
キュアピーチ,桃園ラブ,フレッシュプリキュア!
キュアベリー,蒼乃美希,フレッシュプリキュア!
キュアパイン,山吹祈里,フレッシュプリキュア!
キュアパッション,東せつな,フレッシュプリキュア!
キュアブロッサム,花咲つぼみ,ハートキャッチプリキュア!
キュアマリン,来海えりか,ハートキャッチプリキュア!
キュアサンシャイン,明堂院いつき,ハートキャッチプリキュア!
キュアムーンライト,月影ゆり,ハートキャッチプリキュア!
キュアメロディ,北条響,スイートプリキュア♪
キュアリズム,南野奏,スイートプリキュア♪ 
キュアビート,黒川エレン,スイートプリキュア♪ 
キュアミューズ,調辺アコ,スイートプリキュア♪ 
キュアハート,相田マナ,ドキドキ!プリキュア
キュアダイヤモンド,菱川六花,ドキドキ!プリキュア
キュアロゼッタ,四葉ありす,ドキドキ!プリキュア
キュアソード,剣崎真琴,ドキドキ!プリキュア
キュアエース,円亜久里,ドキドキ!プリキュア
キュアブラック,美墨なぎさ,ふたりはプリキュア
キュアホワイト,雪城ほのか,ふたりはプリキュア
キュアブラック,美墨なぎさ,ふたりはプリキュアMaxHeart
キュアホワイト,雪城ほのか,ふたりはプリキュアMaxHeart
シャイニールミナス,九条ひかり, ふたりはプリキュアMaxHeart
キュアブルーム,日向咲,ふたりはプリキュアSplashStar
キュアイーグレット,美翔舞,ふたりはプリキュアSplashStar
キュアドリーム,夢原のぞみ,Yes!プリキュア5
キュアルージュ,夏木りん,Yes!プリキュア5
キュアアクア,水無月かれん,Yes!プリキュア5
キュアミント,秋元こまち,Yes!プリキュア5
キュアレモネード,春日野うらら,Yes!プリキュア5
キュアドリーム,夢原のぞみ,Yes!プリキュア5GoGo!
キュアルージュ,夏木りん,Yes!プリキュア5GoGo!
キュアレモネード,春日野うらら,Yes!プリキュア5GoGo!
キュアミント,秋元こまち,Yes!プリキュア5GoGo!
キュアアクア,水無月かれん,Yes!プリキュア5GoGo!
キュアハッピー,星空みゆき,スマイルプリキュア!
キュアサニー,日野あかね,スマイルプリキュア!
キュアピース,黄瀬やよい,スマイルプリキュア!
キュアマーチ,緑川なお,スマイルプリキュア!
キュアビューティ,青木れいか,スマイルプリキュア!
